"","taxon_name","lng","lat","early_age","late_age","estimated_age","timeSlice"
"1:19","Mammut americanum",-82.099998,29.799999,0.126,0.0117,0.06885,0.01585
"1:20","Mammut americanum",-60.799999,46.200001,0.126,0.0117,0.06885,0.01585
"1:21","Mammut americanum",-81.066666,31.916668,0.126,0.0117,0.06885,0.01585
"1:22","Mammut americanum",-64.599998,45.900002,0.126,0.0117,0.06885,0.01585
"1:23","Mammut americanum",-95.900002,32.799999,0.126,0.0117,0.06885,0.01585
"1:24","Mammut americanum",-81.066666,31.983334,0.126,0.0117,0.06885,0.01585
"1:25","Mammut americanum",-114.5,62.5,0.126,0.0117,0.06885,0.01585
"1:26","Mammut cf. americanum",-112.900002,42.799999,0.126,0.0117,0.06885,0.01585
"1:27","Mammut americanum",-81.099998,32,0.126,0.0117,0.06885,0.01585
"1:28","Mammut americanum",-81.300003,50.799999,0.126,0.0117,0.06885,0.01585
"1:29","Mammut americanum",-140,68.199997,0.126,0.0117,0.06885,0.01585
"1:30","Mammut americanum",-81.449997,28.716667,0.126,0.0117,0.06885,0.01585
"1:31","Mammut americanum",-82.199997,28.799999,0.126,0.0117,0.06885,0.01585
"1:32","Mammut americanum",-82.7313,29.2936,0.126,0.0117,0.06885,0.01585
"1:34","Mammut americanum",-80.397499,27.638332,0.126,0.0117,0.06885,0.01585
"1:36","Mammut americanum",-83.364441,42.808887,0.126,0.0117,0.06885,0.01585
"1:37","Mammut americanum",-83.258614,42.570831,0.126,0.0117,0.06885,0.01585
"1:38","Mammut americanum",-83.180832,43.268055,0.126,0.0117,0.06885,0.01585
"1:39","Mammut americanum",-84.147224,42.662498,0.126,0.0117,0.06885,0.01585
"1:40","Mammut americanum",-86.465553,42.036388,0.126,0.0117,0.06885,0.01585
"1:41","Mammut americanum",-85.243332,41.861942,0.126,0.0117,0.06885,0.01585
"1:42","Mammut americanum",-84.926109,42.719166,0.126,0.0117,0.06885,0.01585
"1:43","Mammut americanum",-83.914169,42.872501,0.126,0.0117,0.06885,0.01585
"1:44","Mammut americanum",-83.527779,43.027222,0.126,0.0117,0.06885,0.01585
"1:45","Mammut americanum",-83.839165,42.876389,0.126,0.0117,0.06885,0.01585
