"occurrence_no","record_type","reid_no","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","lng","lat","genus","genus_no","family","family_no","order","order_no","class","class_no","phylum","phylum_no","genus_name","species_name","genus_reso","late_interval"
"194240","occurrence","8754","19923","Mammut americanum","species","47865","Mammut americanum","species","47865","Blancan","4.9","1.8","6294;6294","-100.900002","37.099998","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"194365","occurrence","8797","19932","Mammut americanum","species","47865","Mammut americanum","species","47865","Blancan","4.9","1.8","6294;6294","-100.300003","37.200001","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"194887","occurrence",NA,"20001","Mammut americanum","species","47865","Mammut americanum","species","47865","Blancan","4.9","1.8","2062;2062","-119.500000","38.799999","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"195300","occurrence",NA,"20063","Mammut americanum","species","47865","Mammut americanum","species","47865","Blancan","4.9","1.8","1751;1751","-119.099998","46.299999","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"196740","occurrence",NA,"20283","Mammut americanus","species","160931","Mammut americanum","species","47865","Irvingtonian","1.8","0.3","2607;2607","-102.300003","21.799999","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanus",NA,NA
"196787","occurrence",NA,"20288","Mammut americanum","species","47865","Mammut americanum","species","47865","Irvingtonian","1.8","0.3","6202;6202","-100.099998","34.500000","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"197128","occurrence",NA,"20307","Mammut americanum","species","47865","Mammut americanum","species","47865","Irvingtonian","1.8","0.3","1558;1558","-118.500000","47.000000","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"197162","occurrence",NA,"20308","Mammut americanum","species","47865","Mammut americanum","species","47865","Irvingtonian","1.8","0.3","2615;2615","-81.821114","27.041668","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"197190","occurrence",NA,"20310","Mammut americanum","species","47865","Mammut americanum","species","47865","Irvingtonian","1.8","0.3","4222;4222","-105.800003","46.400002","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"197632","occurrence",NA,"20354","Mammut americanum","species","47865","Mammut americanum","species","47865","Irvingtonian","1.8","0.3","1727;1727","-77.199997","39.799999","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
